filename,label,original_url
63_hiking-table-mountain-panorama.jpg,hiking table mountain panorama,https://www.atlasandboots.com/wp-content/uploads/2019/04/hiking-table-mountain-panorama-1024x683.jpg
65_kirkjufell-and-kirkjufellsfoss-during-a-nrthern-lights-display.jpg,Kirkjufell and Kirkjufellsfoss during a nrthern lights display,https://www.atlasandboots.com/wp-content/uploads/2022/12/most-beautiful-mountains-Kirkjufell-and-kirkjufellsfoss.jpg
67_image-67.jpg,,https://www.atlasandboots.com/wp-content/uploads/2020/04/most-beautiful-mountains-in-the-world-pinterest-683x1024.jpg
69_image-69.jpg,,https://www.atlasandboots.com/wp-content/uploads/2021/12/most-beautiful-mountains-in-america-grand-teton-150x150.jpg
71_peter-on-the-summit-of-aconcagua-in-an-orange-down-jacket.jpeg,Peter on the summit of Aconcagua in an orange down jacket,https://www.atlasandboots.com/wp-content/uploads/2020/02/Peter-summit-Aconcagua-150x150.jpeg
73_the-iconic-matterhorn-is-one-of-the.jpg,The iconic Matterhorn is one of the,https://www.atlasandboots.com/wp-content/uploads/2016/02/Mountaineering-calendar-matterhorn--150x150.jpg
75_nanga-parbat-was-once-known-as-killer-mountain.jpg,"Nanga Parbat was once known as ""killer mountain""",https://www.atlasandboots.com/wp-content/uploads/2019/05/eight-thousanders-nanga-parbat-150x150.jpg
77_photo-of-author.jpg,Photo of author,https://secure.gravatar.com/avatar/3f23d00305d8b5872789fb2e1b2662dd?s=150&d=wavatar&r=g
79_ceptics-sidebar-ad.jpg,Ceptics sidebar ad,https://www.atlasandboots.com/wp-content/uploads/2024/04/Ceptics-UP-11KU.jpg
81_guardian-logo.png,Guardian logo,https://www.atlasandboots.com/wp-content/uploads/2021/03/footer_guardian.png
83_lonely-planet-logo.png,Lonely Planet logo,https://www.atlasandboots.com/wp-content/uploads/2021/03/footer_lp.png
85_bbc-travel-logo.png,BBC travel logo,https://www.atlasandboots.com/wp-content/uploads/2020/02/footer_bbc.png
87_national-geographic-logo.png,National Geographic logo,https://www.atlasandboots.com/wp-content/uploads/2019/12/footer_ng.png
89_fodors-logo.png,Fodors logo,https://www.atlasandboots.com/wp-content/uploads/2021/03/footer_fodors_travel.png
91_telegraph-logo.png,Telegraph logo,https://www.atlasandboots.com/wp-content/uploads/2021/03/footer_telegraph.png
